Model,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2
Ridge,3.1728305069549507,2.2930326486770922,0.6667321521304542,3.1320104901548627,2.2952530940132743,0.6679051577219115
SVR,3.0515034242182275,2.080366594565531,0.6917327451961545,2.9271342572168155,2.033470106536529,0.7099312125117228
RandomForest,2.326392234380504,1.4502122057071754,0.8208298939936437,2.184050137463915,1.4065158054623639,0.8385117521377876
XGBoost,2.3138060484787135,1.454891807651594,0.8227633324513455,2.171344824296376,1.4280455462963506,0.840385144017177
